TEAM,TEAM ABBREVIATION,SEASON,ATL,BOS,BRK,CHI,CHO,CLE,DAL,DEN,DET,GSW,HOU,IND,LAC,LAL,MEM,MIA,MIL,MIN,NOP,NYK,OKC,ORL,PHI,PHO,POR,SAC,SAS,TOR,UTA,WAS,,,,,,,,,,,,,,,,,,,
Milwaukee Bucks,MIL,2018,3-0,2-2,2-1,2-2,2-2,1-3,1-1,0-2,2-2,1-1,0-2,1-3,0-2,2-0,2-0,0-3,,1-1,0-2,4-0,1-1,3-1,2-2,2-0,2-0,2-0,2-0,1-2,1-1,2-2,,,,,,,,,,,,,,,,,,,
Minnesota Timberwolves,MIN,2018,1-1,0-2,1-1,1-1,1-1,1-1,4-0,3-1,0-2,1-2,0-4,1-1,4-0,4-0,1-2,1-1,1-1,,4-0,2-0,3-1,1-1,0-2,2-2,2-2,3-0,1-2,1-1,2-2,1-1,,,,,,,,,,,,,,,,,,,
New Orleans Pelicans,NOP,2018,1-1,2-0,2-0,2-0,2-0,1-1,3-1,1-2,2-0,1-3,1-3,2-0,3-1,3-0,2-2,2-0,2-0,0-4,,1-1,2-1,1-1,1-1,3-0,2-2,2-2,3-1,0-2,1-3,0-2,,,,,,,,,,,,,,,,,,,
New York Knicks,NYK,2018,1-2,1-3,4-0,1-3,2-2,2-2,1-1,1-1,0-3,0-2,0-2,1-2,1-1,1-1,1-1,2-2,0-4,0-2,1-1,,1-1,1-3,0-4,2-0,0-2,1-1,0-2,1-3,2-0,1-2,,,,,,,,,,,,,,,,,,,
Oklahoma City Thunder,OKC,2018,2-0,0-2,1-1,2-0,1-1,1-1,2-2,1-3,1-1,2-2,2-1,2-0,3-0,2-2,4-0,2-0,1-1,1-3,1-2,1-1,,1-1,2-0,2-1,0-4,3-1,2-2,2-0,3-1,1-1,,,,,,,,,,,,,,,,,,,
Orlando Magic,ORL,2018,2-2,1-3,1-3,0-4,0-4,2-2,1-1,0-2,2-1,0-2,0-2,0-3,0-2,1-1,2-0,2-2,1-3,1-1,1-1,3-1,1-1,,0-3,2-0,0-2,0-2,1-1,0-3,0-2,1-3,,,,,,,,,,,,,,,,,,,
Philadelphia 76ers,PHI,2018,3-0,1-3,3-1,2-1,4-0,2-2,2-0,2-0,4-0,0-2,1-1,1-2,2-0,1-1,1-1,2-2,2-2,2-0,1-1,4-0,0-2,3-0,,1-1,1-1,0-2,2-0,1-3,2-0,2-2,,,,,,,,,,,,,,,,,,,
Phoenix Suns,PHO,2018,1-1,0-2,1-1,2-0,0-2,0-2,3-0,1-2,0-2,0-4,0-4,0-2,0-4,1-3,3-1,0-2,0-2,2-2,0-3,0-2,1-2,0-2,1-1,,0-4,3-1,0-4,0-2,1-3,1-1,,,,,,,,,,,,,,,,,,,
Portland Trail Blazers,PLB,2018,1-1,0-2,1-1,2-0,2-0,1-1,2-1,1-3,1-1,2-1,0-4,2-0,3-1,3-0,2-2,2-0,0-2,2-2,2-2,2-0,4-0,2-0,1-1,4-0,,3-1,1-2,0-2,2-2,1-1,,,,,,,,,,,,,,,,,,,
Sacramento Kings,SAC,2018,1-1,0-2,2-0,2-0,0-2,1-1,2-2,1-3,0-2,2-2,1-2,0-2,0-4,2-2,1-2,2-0,0-2,0-3,2-2,1-1,1-3,2-0,2-0,1-3,1-3,,0-4,0-2,0-3,0-2,,,,,,,,,,,,,,,,,,,
San Antonio Spurs,SAN,2018,1-1,1-1,2-0,2-0,2-0,2-0,3-1,2-2,1-1,1-3,1-3,0-2,2-1,0-3,4-0,2-0,0-2,2-1,1-3,2-0,2-2,1-1,0-2,4-0,2-1,4-0,,1-1,1-3,1-1,,,,,,,,,,,,,,,,,,,
