diff_avg_pts_home,diff_avg_pts_away,diff_avg_ast_home,diff_avg_ast_away,diff_avg_fg3_pct_home,diff_avg_fg3_pct_away,diff_avg_fg_pct_home,diff_avg_fg_pct_away,diff_avg_ft_pct_home,diff_avg_ft_pct_away,diff_avg_reb_home,diff_avg_reb_away,game_id,game_date_est
7,10.6,-1.2,-0.4,0.0494,0.0786,-0.0058,-0.002,-0.1118,0.0894,5,2.2,20700185,2007-11-24
8.8,7,0.8,-0.6,-0.029,-0.0858,-0.0184,0.0444,-0.061,0.0098,4.2,4.4,20700186,2007-11-24
0.2,-3.4,1.4,-1.2,-0.0748,-0.001,0.0072,-0.0318,-0.053,0.1666,2.2,2,20700187,2007-11-24
-8.6,-2,-4,2.4,0.0466,0.0214,-0.042,0.0126,0.0004,0.063,-0.4,-0.8,20700188,2007-11-24
-12,6.6,-5.4,-3,0.1178,0.1014,-0.0284,0.0994,-0.1268,0.0654,-6.8,-1.2,20700189,2007-11-24
2.8,-1.2,6.4,3.2,0.0758,-0.0926,0.0256,0.022,0.0168,-0.1076,-1.8,-2.8,20700190,2007-11-24
2.6,-5.8,1.8,-2.4,-0.0718,-0.0172,-0.0008,-0.0508,0.012,-0.1168,6.6,0.8,20700191,2007-11-24
5.4,13.6,-1.2,2.6,-0.0028,0.0726,0.0128,0.0586,0.0184,0.1382,-1.6,-1.4,20700192,2007-11-25
5.2,3.4,0,-0.8,0.0144,-0.0076,-0.0044,0.0106,0.0266,0.008,-3.4,5,20700193,2007-11-25
-2.4,6.4,0.4,2,-0.0648,0.0822,-0.0412,0.0612,-0.0648,-0.066,-4,2.6,20700194,2007-11-25
5.8,10.2,0.2,1.4,0.0576,0.0072,-0.0228,-0.0358,-0.0102,0.0376,1.4,6,20700195,2007-11-25
17.4,7,4.6,0.8,0.0346,-0.0888,-0.012,0.0034,0.0974,0.1064,3.2,5.8,20700196,2007-11-25
-1.4,6.6,-2.2,-1.6,-0.074,0.1002,-0.0296,-0.0046,-0.0662,-0.0254,5,4,20700197,2007-11-26
1.6,-4,3.2,0,0.0408,-0.067,-0.0058,-0.0192,0.0494,0.0326,2.8,2,20700198,2007-11-26
-12,-8,-5.2,-3,-0.0502,-0.0738,-0.0272,-0.031,-0.0454,0.1144,1.4,-0.2,20700199,2007-11-26
7.4,3,-0.2,-2.6,0.0242,-0.1302,-0.0114,-0.0588,0.0092,-0.0724,1.6,6.6,20700200,2007-11-26
-11,-7.6,0.8,0.6,0.0378,0.0846,-0.0142,-0.0296,0.0432,0.0374,0.6,-7,20700201,2007-11-26
0.4,1.6,2.4,3,-0.0548,0.0386,-0.0212,-0.0484,0.108,-0.0058,4.2,0.4,20700202,2007-11-26
-11,-0.6,-4.6,1.8,-0.0232,-0.0284,-0.0248,-0.0316,-0.0572,-0.0678,6.4,-3.2,20700203,2007-11-26
1.2,11.2,-3.6,3.8,-0.0998,0.0884,-0.036,0.0216,-0.0584,0.0378,2.2,3.6,20700204,2007-11-27
-12.8,-8.4,-3,1.6,0.0814,-0.0258,0.0006,0.0056,-0.0472,-0.154,-5.8,-8.8,20700205,2007-11-27
-7.2,-4.8,0,2.6,-0.0872,0.0368,0.0368,0.0226,0.0978,-0.0652,-8.6,-5.2,20700206,2007-11-27
7.4,12.2,1.8,4,0.0758,-0.0286,0.0132,0.0398,0.0228,0.0244,1.4,-2.6,20700207,2007-11-27
-1.6,-15.2,1.4,0.2,0.0986,-0.0498,-0.0224,-0.0688,0.0658,-0.1132,5.6,2.2,20700208,2007-11-27
-1,-23.2,3.2,-3.4,-0.0008,-0.069,0.0144,-0.0968,-0.0092,-0.1052,7.4,-0.6,20700209,2007-11-27
-1,-4.2,2,3.4,-0.0272,-0.0738,-0.0292,0.0024,0.0692,-0.0308,0.8,-0.4,20700210,2007-11-27
-8.8,-6.6,-5.4,-1,0.002,-0.0634,-0.0298,-0.016,0.0096,-0.0204,2,-1.2,20700211,2007-11-28
-7.2,5.2,0,1.4,-0.1444,0.1544,-0.0188,0.0114,0.0492,0.0026,1.2,2.6,20700212,2007-11-28
