home_w,home_l,away_w,away_l,top_players,eff,HG_7days,AG_7days,G_7days,back2back,missing_players,home_elo,month,Home_Last_10_Avg_PTS_home,Home_Last_10_Avg_FG_PCT_home,Home_Last_10_Avg_FT_PCT_home,Home_Last_10_Avg_FG3_PCT_home,Home_Last_10_Avg_AST_home,Home_Last_10_Avg_REB_home,Home_Last_10_Avg_PTS_away,Home_Last_10_Avg_FG_PCT_away,Home_Last_10_Avg_FT_PCT_away,Home_Last_10_Avg_REB_away,Home_Last_10_Avg_FG3_PCT_away,Home_Last_10_Avg_AST_away,home_team_wins
23,6,16,13,3,1065.166667,2,1,3,0,0,1674.821028,2,115.8,0.4526,0.7778,0.3752,27.3,48.9,111.7,0.447,0.7875,46.7,0.3343,23.7,1
27,2,9,21,1,691.6666667,2,2,4,1,0,1649.60718,2,118,0.501,0.7654,0.3735,25.4,48.2,103.1,0.4042,0.7697,43.2,0.323,21.6,1
20,10,14,14,0,774.7,1,2,3,0,0,1634.668587,2,109.7,0.4887,0.7714,0.3381,27.1,43.2,104.5,0.4175,0.7762,46.7,0.3504,22.6,1
19,12,17,10,0,862.5555556,2,1,3,0,0,1711.533145,2,112.5,0.4889,0.7907,0.3519,21.7,42.3,111.2,0.4664,0.8024,42.6,0.3534,24.6,1
7,22,5,24,0,551.8,3,0,3,0,1,1411.725259,2,111,0.4666,0.8404,0.3391,26.4,43.2,115.4,0.4869,0.7532,41,0.4,29.6,0
8,18,11,20,0,572.2,1,2,3,1,1,1444.979824,2,104.2,0.4422,0.7479,0.3154,24.2,46.6,103.5,0.4501,0.7397,44.5,0.3542,25.8,1
8,22,8,19,0,755.8571429,1,2,3,0,0,1395.891007,2,115.1,0.465,0.7959,0.3574,25.9,44.7,118.8,0.5044,0.7321,43.8,0.3915,28.8,1
13,15,7,21,1,571.6,2,1,3,0,0,1483.862563,2,115.9,0.4644,0.7553,0.3412,25.1,45.3,115.8,0.4789,0.7239,45.6,0.3729,25.3,1
11,17,6,25,0,664,2,1,3,0,0,1453.719086,2,124.1,0.4816,0.8364,0.3856,25.2,45.7,116.6,0.4576,0.8402,45.2,0.3478,24.1,0
23,3,13,18,0,783.75,1,2,3,0,0,1650.225695,2,116.9,0.4795,0.7744,0.4124,25.9,42,108.7,0.4406,0.7637,45.1,0.3622,27.4,0
20,8,17,12,2,929.8,1,2,3,0,1,1719.057702,2,117.5,0.4698,0.815,0.3305,23.5,41.5,113.8,0.4623,0.8011,46.2,0.3812,22.8,1
14,12,10,20,1,848.7777778,0,2,2,0,0,1618.513711,2,119.3,0.521,0.7796,0.4168,26.5,45,108.6,0.4454,0.809,40.7,0.3669,23.9,0
11,18,13,16,1,856.5,0,3,3,0,0,1586.599016,2,116.9,0.4865,0.8476,0.3917,25.4,45.3,107.1,0.4607,0.8241,38.4,0.3517,25.2,0
20,8,16,13,1,1070,3,0,3,0,0,1660.836923,2,111.5,0.4676,0.7915,0.3612,21.2,43.4,112.1,0.4777,0.7831,42.5,0.423,22.6,0
19,10,14,14,0,736.6,0,2,2,0,0,1627.256998,2,109.3,0.4834,0.7595,0.3205,26.2,42.2,107.1,0.4371,0.7985,46.2,0.3383,23,1
23,7,19,8,1,896,2,0,2,0,0,1776.066718,2,115.7,0.4826,0.8206,0.3743,25.6,47.6,107.2,0.4412,0.77,40,0.3489,25.5,0
