home_w_visitor,home_l_visitor,away_w_visitor,away_l_visitor,top_players_visitor,eff_visitor,HG_7days_VISITOR,AG_7days_VISITOR,G_7days_VISITOR,back2back_visitor,missing_players_visitor,visitor_elo,month,Away_Last_10_Avg_PTS_home,Away_Last_10_Avg_FG_PCT_home,Away_Last_10_Avg_FT_PCT_home,Away_Last_10_Avg_FG3_PCT_home,Away_Last_10_Avg_AST_home,Away_Last_10_Avg_REB_home,Away_Last_10_Avg_PTS_away,Away_Last_10_Avg_FG_PCT_away,Away_Last_10_Avg_FT_PCT_away,Away_Last_10_Avg_REB_away,Away_Last_10_Avg_FG3_PCT_away,Away_Last_10_Avg_AST_away,home_team_wins
17,13,15,14,1,718.5555556,0,2,2,1,0,1481.63287,2,98.4,0.4658,0.7452,0.2666,21.3,42.1,102.6,0.4669,0.787,40.4,0.3188,21.6,1
22,8,19,8,2,856.5454545,1,0,1,0,0,1636.534577,2,104.8,0.4748,0.763,0.3527,23.1,40.2,105,0.4927,0.7928,40.6,0.3896,22.1,0
7,22,7,20,0,746,0,3,3,1,1,1374.234483,2,108.3,0.4859,0.7523,0.2989,22.2,42.1,103.6,0.4791,0.751,40.8,0.3411,21.6,1
13,15,4,26,2,703.6666667,0,1,1,1,1,1330.580897,2,95.7,0.4444,0.7283,0.3694,20.3,40.9,97,0.4447,0.7902,41.6,0.3461,21.7,1
26,4,13,13,1,1024.444444,1,1,2,0,0,1632.289853,2,100.8,0.4855,0.7744,0.2859,22.7,37.9,97.1,0.461,0.7319,38.8,0.3476,19.2,0
25,5,16,10,1,1044.875,0,2,2,0,0,1634.398618,2,91.5,0.4383,0.7625,0.3346,18.8,39.1,91.8,0.4528,0.7885,42.2,0.3222,22.6,0
7,22,7,19,0,746,0,2,2,0,1,1379.267857,2,106.3,0.4802,0.7624,0.3234,22,41.9,103.3,0.4804,0.7487,40.7,0.3308,21.3,1
17,13,14,14,1,772.5,0,1,1,0,0,1464.814172,2,98.3,0.4757,0.754,0.2898,22.4,42.4,100.9,0.4581,0.7822,38.4,0.3488,20.4,0
14,16,7,22,0,596.6,1,1,2,0,1,1394.08879,2,94.1,0.4546,0.7725,0.3372,20,37.5,99.7,0.4961,0.7787,40.8,0.4009,24.2,1
17,13,11,14,1,920.5555556,1,0,1,0,0,1529.421652,2,101.1,0.4826,0.7579,0.353,23.5,42.4,100,0.4405,0.7873,41.5,0.3636,21.5,0
16,12,13,14,2,879.1428571,1,0,1,0,0,1492.603882,2,106.4,0.4817,0.8647,0.349,21.6,41.5,105.4,0.4813,0.7715,39.7,0.4232,21.7,1
14,14,1,27,0,596.8571429,1,1,2,0,0,1327.595141,2,99.1,0.4645,0.7397,0.3922,21.2,43.8,99.1,0.4536,0.6817,43.4,0.3469,19.1,1
20,8,16,12,1,838.2222222,1,1,2,0,0,1594.807316,2,106.3,0.4624,0.78,0.3538,22.3,43.4,102,0.4768,0.7677,38.6,0.3573,19.1,1
21,8,13,17,0,773.3,1,0,1,0,0,1531.500051,2,97.5,0.4811,0.7694,0.3704,22.3,37.9,95.6,0.467,0.8075,38.2,0.3567,19.4,0
13,15,4,25,2,697.8888889,0,0,0,0,0,1331.550401,2,94.2,0.4408,0.7141,0.3654,19.6,41.1,95.5,0.4415,0.7806,41.7,0.3723,20.9,1
17,9,17,14,3,915.7,0,2,2,0,0,1512.390307,2,95.4,0.4675,0.7548,0.3758,23.7,39.3,94.3,0.4689,0.758,40.1,0.3117,21.1,0
16,14,5,23,0,704.4285714,0,2,2,0,0,1404.260349,2,103.2,0.4587,0.7786,0.3131,22.2,40.6,94.3,0.4391,0.7171,39.4,0.3518,19.8,1
