diff_home_wins,diff_home_losses,diff_away_wins,diff_away_losses,diff_avg_pts_home,diff_avg_pts_away,diff_avg_ast_home,diff_avg_ast_away,diff_avg_fg3_pct_home,diff_avg_fg3_pct_away,diff_avg_fg_pct_home,diff_avg_fg_pct_away,diff_avg_ft_pct_home,diff_avg_ft_pct_away,diff_avg_reb_home,diff_avg_reb_away
2,2,-4,2,6.7,0.5,-1.5,-1.9,-0.0012,0.0002,0.0292,0.0063,0.0989,0.0257,0.3,-4.5
-2,3,-1,-1,8.1,7.7,4.7,5,0.0082,0.0759,0.0353,0.0696,0.0006,0.0363,-4.4,-6
0,-1,6,-4,-14.3,-12.5,-6.5,-5,0.0501,-0.0493,-0.0073,-0.011,0.0984,-0.0033,-6.8,-4.4
0,-5,4,5,-10.1,-2.8,-0.2,2.8,0.0392,-0.0069,-0.0243,0.0255,-0.0325,0.0922,1.1,-3.2
5,-8,-1,2,5.1,1.9,0.9,0.8,0.0174,0.0668,-0.0068,-0.0078,-0.0293,0.0617,3.6,-2
-5,2,0,2,9.8,11,-0.8,-2.5,0.0371,0.0731,0.0084,0.0133,-0.0098,-0.034,3.4,1.5
-4,3,1,-2,-6.4,0.6,0.1,1.2,-0.0232,0.06,-0.0201,-0.0268,-0.0383,0.0386,2.7,5.6
-8,1,3,2,3.1,10.4,2.5,2.1,0.0029,-0.0455,0.0186,0.0427,-0.1058,0.0646,-2.8,0
2,4,-3,-2,16.9,16.5,3.7,3.6,-0.0046,0.1277,0.0447,0.0126,0.0275,-0.0001,1.3,0
5,-4,3,-3,7.6,13.6,4.8,5.7,0.0144,0.0498,0.0286,0.0389,0.0849,0.0582,-1.9,-0.4
-4,0,0,6,-9.4,-8.6,-5.9,-1.6,-0.0264,-0.042,-0.0683,-0.0229,-0.0319,-0.0445,4.2,-1.4
-4,2,6,-3,-20.5,-19.1,-7.6,-4.5,-0.0551,-0.0529,-0.0197,-0.0272,0.0327,-0.0494,-3.9,-3.5
-7,9,-1,1,-4.7,-3.5,-2.9,-1.4,0.0779,0.0104,0.0061,0.023,0.0267,0.0076,-4.2,-4
-3,0,1,1,-13.3,-9.9,-3,-2.6,-0.0373,-0.0329,-0.0082,0.0152,0.1057,0.0452,-6.4,-7.5
-6,4,-2,2,-4.8,2.5,0.2,-1.4,0.0782,-0.0487,-0.0172,0.011,0.0715,0.0237,-1.9,6
4,0,2,-5,3.2,1,-0.6,-3.9,0.081,-0.0321,0.0442,0.0067,0.053,0.0357,-6.4,-1.7
-5,6,-4,6,11.3,4,-0.1,4.3,0.0365,-0.0125,0.0352,0.0239,0.0708,0.0278,2.9,-5.1
-1,0,3,2,-1.5,-0.3,-0.1,-0.5,-0.0068,-0.1122,0.0109,0.0094,0.0536,0.0034,0.5,0.3
0,-1,-4,4,8.4,5.8,3.4,-0.5,0.0187,0.0623,0.0241,-0.0161,0.0068,0.0188,2.4,2.3
-2,5,-2,-2,2,-1.1,-4.4,-3.2,0.076,0.0977,-0.0078,-0.002,0.0721,-0.0581,0.7,-0.7
-5,2,-2,4,0.7,-3.7,1.6,-0.7,-0.0203,-0.0158,-0.0087,-0.0088,0.0121,-0.0385,0,2.1
2,-3,-3,2,-3.2,-9.4,0.1,-0.8,0.0372,-0.0376,0.0059,-0.0077,-0.039,-0.07,0.7,0.3
2,-1,-8,7,3.8,0.4,4,4,0.0229,0.0892,-0.0157,-0.0184,0.0284,-0.0621,4.7,2.4
1,4,-5,-1,2.2,-1.4,3.8,4.2,-0.0199,-0.0092,0.0271,0.0305,0.0324,0.0229,-4,-5
-2,0,4,-2,-4.2,0.4,-4.7,-0.2,-0.0281,-0.0334,-0.0529,-0.0129,-0.0427,-0.0106,2.5,5
2,0,-1,0,13.8,11.4,3.2,3.2,0.0325,0.0088,0.0063,-0.0097,-0.1032,-0.0532,6.8,8.6
-10,9,-9,12,7.2,13.1,1.1,4.1,0.0074,0.0526,0.0058,0.0302,-0.0152,0.0377,-1.4,-1.7
9,-5,-2,-1,13.2,7,2.9,-1.8,-0.0027,-0.0669,0.0158,-0.0345,0.0005,-0.0234,5.8,5.1
-7,2,-6,10,0.5,4.7,2.7,5.7,0.0081,0.0716,0.0142,0.0288,-0.0512,0.0639,2.4,-4.4
-2,1,0,5,-4.9,-5.8,-1.6,-6.9,0.0576,0.0127,0.0333,0.0147,0.0195,0.0221,-7.4,-6
1,3,0,-6,4.3,4.9,-1.9,-0.5,-0.004,0.0367,-0.0057,-0.0044,-0.0064,-0.0738,3.2,2.5
5,-7,3,-2,1.4,2.1,-0.2,3.6,0.0211,-0.0569,-0.0008,0.012,-0.0067,0.0093,0.1,2.9
-1,3,7,-7,-21.8,-14.8,-7.6,-0.3,-0.0418,-0.0588,-0.0483,-0.0027,-0.0024,-0.0535,-1.2,-1.4
0,-4,2,1,8.3,5.9,4,-2.4,0.0535,0.0038,0.0523,0.0024,0.0033,0.0426,2,-3.3
8,-7,3,-4,-15.2,-18.4,-2.4,-3.2,-0.0785,-0.0523,-0.0527,-0.0528,-0.0043,-0.118,6.5,1.7
6,-6,2,-1,2.6,-0.6,-0.9,-1.5,-0.0171,-0.0854,-0.0039,0.0015,0.0402,-0.0272,-1,-1.1
2,-3,3,-4,10.7,3.3,5.8,0.5,0.1064,-0.0413,0.0299,0.0063,0.1051,0.0171,-0.8,6.8
-3,7,-7,-1,14.7,14.8,3.9,0.4,0.0346,0.0995,0.0718,0.0331,0.0085,0.0067,-6.7,-0.5
-3,3,-2,3,1.4,-2.7,0.4,1.2,0.0348,-0.0401,0.0264,0.01,0.0969,0.0494,-3.9,-4.3
-5,2,-2,5,-2,-9,-1.7,-1.7,0.0606,0.06,0.0004,0.0042,0.0691,0.0014,-2.5,-3.7
-7,2,-2,6,-8.2,2,-1,2.7,-0.0617,0.0502,-0.0355,-0.0131,-0.0537,0.0091,3.5,3.9
-6,7,2,-5,-2.9,-1,-0.8,-3.4,-0.0643,0.0085,-0.0177,-0.0321,0.0244,-0.0662,-0.8,3.5
3,-1,3,-1,-1.1,1,-0.1,-1.4,-0.0442,-0.1259,0.0176,-0.0026,0.0795,0.022,-3.7,1
-4,4,-6,6,-4.6,-12.2,0.3,-4.1,0.0116,0.0418,0.0089,-0.0172,-0.0275,-0.0697,-0.6,-4.2
-4,5,-4,6,14.8,17.1,-0.8,4.6,0.0195,0.0846,0.0094,0.0383,0.0217,0.0356,-1.7,1.2
-7,7,0,1,-27.6,-17.7,-6.6,-1.9,0.0385,-0.0315,-0.0602,-0.0206,0.0172,-0.041,-0.1,-0.3
-3,1,3,4,-11.6,-14.6,-1.8,-5.1,0.0797,-0.1373,-0.0015,-0.012,0.0227,-0.006,-0.8,-3.7
-3,6,-3,-3,6.4,8.5,3.7,4.4,-0.0099,-0.0431,0.0202,0.0143,-0.0431,-0.0142,1,2.4
2,-2,-1,1,16.6,13.9,5.7,3.1,0.0429,-0.0472,0.0184,0.0193,0.0403,0.0446,1.9,7.3
6,-3,-3,3,9.3,11,2.2,-1,-0.0226,-0.0399,0.0117,-0.0233,-0.0654,-0.0606,3.6,8.5
-5,6,-6,8,5.3,3.8,1.2,0.6,0.0446,0.0199,0.0375,-0.0102,-0.0081,-0.0034,3.5,0.1
4,-6,1,3,5.2,-0.8,0.5,-1.5,-0.004,0.0059,-0.0014,-0.022,0.0058,-0.0798,6.5,1.5
0,0,4,-4,19.1,7.5,5.6,1.4,0.122,-0.0023,0.0584,0.0157,0.1417,0.041,0.2,-1.1
-2,-1,1,0,17.2,19.9,3.5,-1.3,0.0174,0.044,0.0386,0.0434,0.0163,0.0737,-4.4,1.7
-2,-1,0,1,4.3,-7.1,1.7,-1.1,-0.0634,-0.0068,0.0219,-0.0254,-0.0653,-0.0545,-1.6,-1.5
-6,6,-1,-1,8.9,4.6,3.1,-1,-0.0018,-0.0012,0.042,0.0113,0.0416,0.007,-1.2,-4.9
4,2,2,-6,5.9,6,-1.4,-2.9,-0.062,-0.1059,0.0132,-0.0353,0.0562,-0.0186,2.2,6.7
3,-6,8,-5,-9.3,-1.4,-2.5,0.4,-0.0326,-0.0862,-0.0324,0.0116,0.0208,0.0371,-1.2,-0.1
-1,0,2,-2,3.9,3.8,3.6,1.2,-0.12,-0.0688,0.0053,-0.0209,-0.0883,-0.0447,1.7,6.2
-1,-1,2,-3,2,4.9,3.7,1.3,0.0038,-0.0104,0.0144,-0.0056,-0.0409,0.0015,4.5,0
-4,-1,3,2,-18.9,-16.2,-6.9,-1.2,0.0225,-0.0434,-0.0717,-0.0203,0.0148,-0.0421,0.1,0.5
9,-8,5,-6,3.9,-2.2,-0.7,1.8,0.0218,0.0306,0.0035,-0.0072,-0.0153,0.0256,-0.5,0.5
-3,2,-5,2,10.6,4,4.2,3.5,-0.006,-0.0488,-0.0089,-0.0477,-0.0461,-0.0538,8.4,8.1
1,-1,-2,6,4.7,5.1,-0.7,1.2,-0.0043,-0.0478,0.0269,0.0021,0.0006,-0.0329,2.7,0.6
0,-1,-3,5,17.5,15.8,7,3.4,0.0511,-0.0616,0.0352,0.0199,0.0174,-0.0282,1.5,10.4
-5,2,-5,10,2.1,-3.1,2.9,0.9,0.0502,0.0811,0.031,0.0203,-0.0204,-0.0016,-3.8,-4
